"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS"
"18/08/12","Celta","Malaga",0,1,"A",17,16
"18/08/12","Mallorca","Espanol",2,1,"H",17,13
"18/08/12","Sevilla","Getafe",2,1,"H",16,10
"19/08/12","Ath Bilbao","Betis",3,5,"A",17,13
"19/08/12","Barcelona","Sociedad",5,1,"H",18,5
"19/08/12","Levante","Ath Madrid",1,1,"D",6,11
"19/08/12","Real Madrid","Valencia",1,1,"D",24,5
"20/08/12","La Coruna","Osasuna",2,0,"H",10,11
"20/08/12","Vallecano","Granada",1,0,"H",16,14
"20/08/12","Zaragoza","Valladolid",0,1,"A",11,7
"25/08/12","Betis","Vallecano",1,2,"A",14,19
"25/08/12","Espanol","Zaragoza",1,2,"A",9,10
"25/08/12","Malaga","Mallorca",1,1,"D",18,9
"25/08/12","Sociedad","Celta",2,1,"H",15,14
"26/08/12","Getafe","Real Madrid",2,1,"H",11,14
"26/08/12","Granada","Sevilla",1,1,"D",18,9
"26/08/12","Osasuna","Barcelona",1,2,"A",17,15
"26/08/12","Valencia","La Coruna",3,3,"D",13,13
"27/08/12","Ath Madrid","Ath Bilbao",4,0,"H",23,7
"27/08/12","Valladolid","Levante",2,0,"H",15,8
"01/09/12","Celta","Osasuna",2,0,"H",12,7
"01/09/12","La Coruna","Getafe",1,1,"D",10,13
"01/09/12","Mallorca","Sociedad",1,0,"H",15,10
"01/09/12","Zaragoza","Malaga",0,1,"A",11,11
"02/09/12","Ath Bilbao","Valladolid",2,0,"H",17,8
"02/09/12","Barcelona","Valencia",1,0,"H",11,4
"02/09/12","Levante","Espanol",3,2,"H",11,9
"02/09/12","Real Madrid","Granada",3,0,"H",22,7
"02/09/12","Vallecano","Sevilla",0,0,"D",13,18
"15/09/12","Getafe","Barcelona",1,4,"A",6,15
"15/09/12","Malaga","Levante",3,1,"H",12,5
"15/09/12","Sevilla","Real Madrid",1,0,"H",10,18
"15/09/12","Valencia","Celta",2,1,"H",15,15
"16/09/12","Ath Madrid","Vallecano",4,3,"H",12,17
"16/09/12","Espanol","Ath Bilbao",3,3,"D",15,16
"16/09/12","Granada","La Coruna",1,1,"D",13,14
"16/09/12","Osasuna","Mallorca",1,1,"D",20,7
"16/09/12","Sociedad","Zaragoza",2,0,"H",7,12
"17/09/12","Valladolid","Betis",0,1,"A",10,8
"22/09/12","Barcelona","Granada",2,0,"H",20,6
"22/09/12","Betis","Espanol",1,0,"H",15,11
"22/09/12","Celta","Getafe",2,1,"H",14,6
"22/09/12","Zaragoza","Osasuna",3,1,"H",10,11
"23/09/12","Ath Bilbao","Malaga",0,0,"D",9,12
"23/09/12","Ath Madrid","Valladolid",2,1,"H",14,4
"23/09/12","Levante","Sociedad",2,1,"H",16,17
"23/09/12","Mallorca","Valencia",2,0,"H",6,27
"24/09/12","La Coruna","Sevilla",0,2,"A",14,13
"24/09/12","Vallecano","Real Madrid",0,2,"A",13,16
